metric,mean,std
ho_rate,3.3065200000000003,0.0683597249848184
hof_rate,0.23471999999999996,0.016134807095221245
pp_rate,0.07555999999999996,0.010992179037843232
capacity_avg,3.9450619047333335,0.005361730918751464
rlf_rate,0.136,0.00520192272145598
reliability_pct,96.24270999999999,0.061375860120700905
prep_rate,24.235719999999997,0.19166572985278396
res_reservation_pct,8.734141650793651,0.030937077020345895
reward,1137.783814826294,1.9980984727355116
total_steps,30000.0,0.0
total_minutes,5.0,0.0
